equipment_id,line_id,equipment_code,equipment_name,equipment_type,equipment_type_name,sequence_no,manufacturer,model,status,commissioned_on
EQ-SMT-L01-PRN01,PL-SMT-01,SMT01-PRN-01,产线1-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-01-15
EQ-SMT-L01-SPI01,PL-SMT-01,SMT01-SPI-01,产线1-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-02-15
EQ-SMT-L01-MNT01,PL-SMT-01,SMT01-MNT-01,产线1-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-03-15
EQ-SMT-L01-RFL01,PL-SMT-01,SMT01-RFL-01,产线1-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-04-15
EQ-SMT-L01-AOI01,PL-SMT-01,SMT01-AOI-01,产线1-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-05-15
EQ-SMT-L01-RTR01,PL-SMT-01,SMT01-RTR-01,产线1-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-06-15
EQ-SMT-L02-PRN01,PL-SMT-02,SMT02-PRN-01,产线2-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-02-15
EQ-SMT-L02-SPI01,PL-SMT-02,SMT02-SPI-01,产线2-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-03-15
EQ-SMT-L02-MNT01,PL-SMT-02,SMT02-MNT-01,产线2-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-04-15
EQ-SMT-L02-RFL01,PL-SMT-02,SMT02-RFL-01,产线2-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-05-15
EQ-SMT-L02-AOI01,PL-SMT-02,SMT02-AOI-01,产线2-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-06-15
EQ-SMT-L02-RTR01,PL-SMT-02,SMT02-RTR-01,产线2-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-07-15
EQ-SMT-L03-PRN01,PL-SMT-03,SMT03-PRN-01,产线3-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-03-15
EQ-SMT-L03-SPI01,PL-SMT-03,SMT03-SPI-01,产线3-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-04-15
EQ-SMT-L03-MNT01,PL-SMT-03,SMT03-MNT-01,产线3-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-05-15
EQ-SMT-L03-RFL01,PL-SMT-03,SMT03-RFL-01,产线3-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-06-15
EQ-SMT-L03-AOI01,PL-SMT-03,SMT03-AOI-01,产线3-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-07-15
EQ-SMT-L03-RTR01,PL-SMT-03,SMT03-RTR-01,产线3-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-08-15
EQ-SMT-L04-PRN01,PL-SMT-04,SMT04-PRN-01,产线4-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-04-15
EQ-SMT-L04-SPI01,PL-SMT-04,SMT04-SPI-01,产线4-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-05-15
EQ-SMT-L04-MNT01,PL-SMT-04,SMT04-MNT-01,产线4-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-06-15
EQ-SMT-L04-RFL01,PL-SMT-04,SMT04-RFL-01,产线4-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-07-15
EQ-SMT-L04-AOI01,PL-SMT-04,SMT04-AOI-01,产线4-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-08-15
EQ-SMT-L04-RTR01,PL-SMT-04,SMT04-RTR-01,产线4-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-09-15
EQ-SMT-L05-PRN01,PL-SMT-05,SMT05-PRN-01,产线5-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-05-15
EQ-SMT-L05-SPI01,PL-SMT-05,SMT05-SPI-01,产线5-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-06-15
EQ-SMT-L05-MNT01,PL-SMT-05,SMT05-MNT-01,产线5-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-07-15
EQ-SMT-L05-RFL01,PL-SMT-05,SMT05-RFL-01,产线5-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-08-15
EQ-SMT-L05-AOI01,PL-SMT-05,SMT05-AOI-01,产线5-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-09-15
EQ-SMT-L05-RTR01,PL-SMT-05,SMT05-RTR-01,产线5-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-01-15
EQ-SMT-L06-PRN01,PL-SMT-06,SMT06-PRN-01,产线6-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-06-15
EQ-SMT-L06-SPI01,PL-SMT-06,SMT06-SPI-01,产线6-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-07-15
EQ-SMT-L06-MNT01,PL-SMT-06,SMT06-MNT-01,产线6-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-08-15
EQ-SMT-L06-RFL01,PL-SMT-06,SMT06-RFL-01,产线6-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-09-15
EQ-SMT-L06-AOI01,PL-SMT-06,SMT06-AOI-01,产线6-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-01-15
EQ-SMT-L06-RTR01,PL-SMT-06,SMT06-RTR-01,产线6-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-02-15
EQ-SMT-L07-PRN01,PL-SMT-07,SMT07-PRN-01,产线7-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-07-15
EQ-SMT-L07-SPI01,PL-SMT-07,SMT07-SPI-01,产线7-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-08-15
EQ-SMT-L07-MNT01,PL-SMT-07,SMT07-MNT-01,产线7-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-09-15
EQ-SMT-L07-RFL01,PL-SMT-07,SMT07-RFL-01,产线7-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-01-15
EQ-SMT-L07-AOI01,PL-SMT-07,SMT07-AOI-01,产线7-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-02-15
EQ-SMT-L07-RTR01,PL-SMT-07,SMT07-RTR-01,产线7-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-03-15
EQ-SMT-L08-PRN01,PL-SMT-08,SMT08-PRN-01,产线8-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-08-15
EQ-SMT-L08-SPI01,PL-SMT-08,SMT08-SPI-01,产线8-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-09-15
EQ-SMT-L08-MNT01,PL-SMT-08,SMT08-MNT-01,产线8-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-01-15
EQ-SMT-L08-RFL01,PL-SMT-08,SMT08-RFL-01,产线8-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-02-15
EQ-SMT-L08-AOI01,PL-SMT-08,SMT08-AOI-01,产线8-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-03-15
EQ-SMT-L08-RTR01,PL-SMT-08,SMT08-RTR-01,产线8-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-04-15
EQ-SMT-L09-PRN01,PL-SMT-09,SMT09-PRN-01,产线9-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-09-15
EQ-SMT-L09-SPI01,PL-SMT-09,SMT09-SPI-01,产线9-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-01-15
EQ-SMT-L09-MNT01,PL-SMT-09,SMT09-MNT-01,产线9-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-02-15
EQ-SMT-L09-RFL01,PL-SMT-09,SMT09-RFL-01,产线9-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-03-15
EQ-SMT-L09-AOI01,PL-SMT-09,SMT09-AOI-01,产线9-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-04-15
EQ-SMT-L09-RTR01,PL-SMT-09,SMT09-RTR-01,产线9-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-05-15
EQ-SMT-L10-PRN01,PL-SMT-10,SMT10-PRN-01,产线10-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-01-15
EQ-SMT-L10-SPI01,PL-SMT-10,SMT10-SPI-01,产线10-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-02-15
EQ-SMT-L10-MNT01,PL-SMT-10,SMT10-MNT-01,产线10-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-03-15
EQ-SMT-L10-RFL01,PL-SMT-10,SMT10-RFL-01,产线10-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-04-15
EQ-SMT-L10-AOI01,PL-SMT-10,SMT10-AOI-01,产线10-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-05-15
EQ-SMT-L10-RTR01,PL-SMT-10,SMT10-RTR-01,产线10-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-06-15
EQ-SMT-L11-PRN01,PL-SMT-11,SMT11-PRN-01,产线11-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-02-15
EQ-SMT-L11-SPI01,PL-SMT-11,SMT11-SPI-01,产线11-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-03-15
EQ-SMT-L11-MNT01,PL-SMT-11,SMT11-MNT-01,产线11-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-04-15
EQ-SMT-L11-RFL01,PL-SMT-11,SMT11-RFL-01,产线11-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-05-15
EQ-SMT-L11-AOI01,PL-SMT-11,SMT11-AOI-01,产线11-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-06-15
EQ-SMT-L11-RTR01,PL-SMT-11,SMT11-RTR-01,产线11-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-07-15
EQ-SMT-L12-PRN01,PL-SMT-12,SMT12-PRN-01,产线12-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-03-15
EQ-SMT-L12-SPI01,PL-SMT-12,SMT12-SPI-01,产线12-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-04-15
EQ-SMT-L12-MNT01,PL-SMT-12,SMT12-MNT-01,产线12-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-05-15
EQ-SMT-L12-RFL01,PL-SMT-12,SMT12-RFL-01,产线12-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-06-15
EQ-SMT-L12-AOI01,PL-SMT-12,SMT12-AOI-01,产线12-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-07-15
EQ-SMT-L12-RTR01,PL-SMT-12,SMT12-RTR-01,产线12-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-08-15
EQ-SMT-L13-PRN01,PL-SMT-13,SMT13-PRN-01,产线13-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-04-15
EQ-SMT-L13-SPI01,PL-SMT-13,SMT13-SPI-01,产线13-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-05-15
EQ-SMT-L13-MNT01,PL-SMT-13,SMT13-MNT-01,产线13-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-06-15
EQ-SMT-L13-RFL01,PL-SMT-13,SMT13-RFL-01,产线13-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-07-15
EQ-SMT-L13-AOI01,PL-SMT-13,SMT13-AOI-01,产线13-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-08-15
EQ-SMT-L13-RTR01,PL-SMT-13,SMT13-RTR-01,产线13-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-09-15
EQ-SMT-L14-PRN01,PL-SMT-14,SMT14-PRN-01,产线14-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-05-15
EQ-SMT-L14-SPI01,PL-SMT-14,SMT14-SPI-01,产线14-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-06-15
EQ-SMT-L14-MNT01,PL-SMT-14,SMT14-MNT-01,产线14-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-07-15
EQ-SMT-L14-RFL01,PL-SMT-14,SMT14-RFL-01,产线14-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-08-15
EQ-SMT-L14-AOI01,PL-SMT-14,SMT14-AOI-01,产线14-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-09-15
EQ-SMT-L14-RTR01,PL-SMT-14,SMT14-RTR-01,产线14-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-01-15
EQ-SMT-L15-PRN01,PL-SMT-15,SMT15-PRN-01,产线15-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-06-15
EQ-SMT-L15-SPI01,PL-SMT-15,SMT15-SPI-01,产线15-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-07-15
EQ-SMT-L15-MNT01,PL-SMT-15,SMT15-MNT-01,产线15-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-08-15
EQ-SMT-L15-RFL01,PL-SMT-15,SMT15-RFL-01,产线15-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-09-15
EQ-SMT-L15-AOI01,PL-SMT-15,SMT15-AOI-01,产线15-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-01-15
EQ-SMT-L15-RTR01,PL-SMT-15,SMT15-RTR-01,产线15-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-02-15
