alarm_id,line_id,equipment_id,alarm_started_at,alarm_ended_at,duration_minutes,severity,alarm_code,alarm_name,alarm_category,error_value,normal_min,normal_max,requires_manual_intervention,recovery_action,resolution_status,resolution_note
ALM-000064,PL-SMT-05,EQ-SMT-L05-MNT01,2026-07-16T22:10:00+08:00,2026-07-16T22:28:00+08:00,18,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,3,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000065,PL-SMT-08,EQ-SMT-L08-SPI01,2026-07-16T22:10:00+08:00,2026-07-16T22:37:00+08:00,27,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,16,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000066,PL-SMT-15,EQ-SMT-L15-RTR01,2026-07-16T22:10:00+08:00,2026-07-16T22:32:00+08:00,22,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,105,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000067,PL-SMT-03,EQ-SMT-L03-PRN01,2026-07-16T22:11:00+08:00,2026-07-16T22:33:00+08:00,22,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,7,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000068,PL-SMT-14,EQ-SMT-L14-PRN01,2026-07-16T22:11:00+08:00,2026-07-16T22:34:00+08:00,23,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,5,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000069,PL-SMT-14,EQ-SMT-L14-RTR01,2026-07-16T22:11:00+08:00,2026-07-16T22:36:00+08:00,25,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,108,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000070,PL-SMT-02,EQ-SMT-L02-RFL01,2026-07-16T22:12:00+08:00,2026-07-16T22:30:00+08:00,18,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,12,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000071,PL-SMT-10,EQ-SMT-L10-MNT01,2026-07-17T01:06:00+08:00,2026-07-17T01:18:00+08:00,12,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,2,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000072,PL-SMT-13,EQ-SMT-L13-PRN01,2026-07-17T01:06:00+08:00,2026-07-17T01:33:00+08:00,27,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,6,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000073,PL-SMT-15,EQ-SMT-L15-SPI01,2026-07-17T01:06:00+08:00,2026-07-17T01:19:00+08:00,13,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,22,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000074,PL-SMT-04,EQ-SMT-L04-PRN01,2026-07-17T01:08:00+08:00,2026-07-17T01:29:00+08:00,21,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,6,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000075,PL-SMT-01,EQ-SMT-L01-AOI01,2026-07-17T01:10:00+08:00,2026-07-17T01:30:00+08:00,20,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,6,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000076,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T01:12:00+08:00,2026-07-17T01:58:00+08:00,46,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,14618,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000077,PL-SMT-01,EQ-SMT-L01-PRN01,2026-07-17T01:13:00+08:00,2026-07-17T01:37:00+08:00,24,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,5,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000078,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T04:07:00+08:00,2026-07-17T04:56:00+08:00,49,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,36064,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000079,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T07:08:00+08:00,2026-07-17T07:53:00+08:00,45,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,47413,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000080,PL-SMT-07,EQ-SMT-L07-MNT01,2026-07-17T09:06:00+08:00,2026-07-17T09:32:00+08:00,26,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,1,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000081,PL-SMT-02,EQ-SMT-L02-SPI01,2026-07-17T09:08:00+08:00,2026-07-17T09:23:00+08:00,15,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,24,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000082,PL-SMT-08,EQ-SMT-L08-RFL01,2026-07-17T09:08:00+08:00,2026-07-17T09:30:00+08:00,22,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,8,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000083,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T10:14:00+08:00,2026-07-17T10:59:00+08:00,45,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,44258,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000084,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T13:09:00+08:00,2026-07-17T13:57:00+08:00,48,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,62405,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000085,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T16:06:00+08:00,2026-07-17T16:48:00+08:00,42,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,19639,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000086,PL-SMT-08,EQ-SMT-L08-RTR01,2026-07-17T17:11:00+08:00,2026-07-17T17:28:00+08:00,17,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,104,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000087,PL-SMT-09,EQ-SMT-L09-AOI01,2026-07-17T17:13:00+08:00,2026-07-17T17:36:00+08:00,23,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,12,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000088,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T19:13:00+08:00,2026-07-17T19:59:00+08:00,46,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,20819,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000089,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-17T22:13:00+08:00,2026-07-17T22:56:00+08:00,43,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,63601,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000090,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T01:07:00+08:00,2026-07-18T01:53:00+08:00,46,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,10893,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000091,PL-SMT-04,EQ-SMT-L04-RTR01,2026-07-18T04:08:00+08:00,2026-07-18T04:24:00+08:00,16,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,105,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000092,PL-SMT-10,EQ-SMT-L10-SPI01,2026-07-18T04:09:00+08:00,2026-07-18T04:27:00+08:00,18,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,21,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000093,PL-SMT-11,EQ-SMT-L11-MNT01,2026-07-18T04:09:00+08:00,2026-07-18T04:35:00+08:00,26,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,1,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000094,PL-SMT-06,EQ-SMT-L06-SPI01,2026-07-18T04:10:00+08:00,2026-07-18T04:22:00+08:00,12,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,24,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000095,PL-SMT-09,EQ-SMT-L09-RFL01,2026-07-18T04:11:00+08:00,2026-07-18T04:32:00+08:00,21,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,15,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000096,PL-SMT-03,EQ-SMT-L03-MNT01,2026-07-18T04:12:00+08:00,2026-07-18T04:28:00+08:00,16,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,1,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000097,PL-SMT-05,EQ-SMT-L05-PRN01,2026-07-18T04:13:00+08:00,2026-07-18T04:37:00+08:00,24,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,5,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000098,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T04:14:00+08:00,2026-07-18T04:59:00+08:00,45,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,25494,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000099,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T07:13:00+08:00,2026-07-18T07:59:00+08:00,46,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,42117,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000100,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T10:13:00+08:00,2026-07-18T10:57:00+08:00,44,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,57573,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000101,PL-SMT-14,EQ-SMT-L14-MNT01,2026-07-18T12:05:00+08:00,2026-07-18T12:23:00+08:00,18,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,2,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000102,PL-SMT-01,EQ-SMT-L01-RFL01,2026-07-18T12:06:00+08:00,2026-07-18T12:30:00+08:00,24,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,10,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000103,PL-SMT-08,EQ-SMT-L08-PRN01,2026-07-18T12:07:00+08:00,2026-07-18T12:31:00+08:00,24,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,9,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000104,PL-SMT-13,EQ-SMT-L13-RFL01,2026-07-18T12:07:00+08:00,2026-07-18T12:32:00+08:00,25,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,13,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000105,PL-SMT-04,EQ-SMT-L04-AOI01,2026-07-18T12:08:00+08:00,2026-07-18T12:27:00+08:00,19,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,6,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000106,PL-SMT-07,EQ-SMT-L07-SPI01,2026-07-18T12:08:00+08:00,2026-07-18T12:23:00+08:00,15,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,16,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000107,PL-SMT-12,EQ-SMT-L12-RTR01,2026-07-18T12:10:00+08:00,2026-07-18T12:23:00+08:00,13,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,103,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000108,PL-SMT-04,EQ-SMT-L04-RFL01,2026-07-18T12:13:00+08:00,2026-07-18T12:39:00+08:00,26,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,13,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000109,PL-SMT-12,EQ-SMT-L12-AOI01,2026-07-18T12:13:00+08:00,2026-07-18T12:26:00+08:00,13,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,10,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000110,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T13:10:00+08:00,2026-07-18T13:56:00+08:00,46,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,29067,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000111,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T16:09:00+08:00,2026-07-18T16:56:00+08:00,47,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,47252,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000112,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T19:10:00+08:00,2026-07-18T19:59:00+08:00,49,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,22120,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000113,PL-SMT-01,EQ-SMT-L01-SPI01,2026-07-18T20:05:00+08:00,2026-07-18T20:30:00+08:00,25,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,25,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000114,PL-SMT-13,EQ-SMT-L13-RTR01,2026-07-18T20:06:00+08:00,2026-07-18T20:27:00+08:00,21,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,115,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000115,PL-SMT-11,EQ-SMT-L11-SPI01,2026-07-18T20:08:00+08:00,2026-07-18T20:20:00+08:00,12,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,20,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000116,PL-SMT-06,EQ-SMT-L06-MNT01,2026-07-18T20:11:00+08:00,2026-07-18T20:31:00+08:00,20,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,2,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000117,PL-SMT-12,EQ-SMT-L12-PRN01,2026-07-18T20:11:00+08:00,2026-07-18T20:24:00+08:00,13,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,5,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000118,PL-SMT-05,EQ-SMT-L05-AOI01,2026-07-18T20:12:00+08:00,2026-07-18T20:36:00+08:00,24,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,11,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000119,PL-SMT-05,EQ-SMT-L05-RTR01,2026-07-18T20:13:00+08:00,2026-07-18T20:28:00+08:00,15,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,108,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000120,PL-SMT-13,EQ-SMT-L13-AOI01,2026-07-18T20:13:00+08:00,2026-07-18T20:35:00+08:00,22,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,12,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000121,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-18T22:12:00+08:00,2026-07-18T22:59:00+08:00,47,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,19178,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000122,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-19T01:12:00+08:00,2026-07-19T01:59:00+08:00,47,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,49012,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000123,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-19T04:11:00+08:00,2026-07-19T04:59:00+08:00,48,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,46301,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000124,PL-SMT-02,EQ-SMT-L02-RFL01,2026-07-19T07:06:00+08:00,2026-07-19T07:29:00+08:00,23,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,10,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000125,PL-SMT-10,EQ-SMT-L10-AOI01,2026-07-19T07:08:00+08:00,2026-07-19T07:28:00+08:00,20,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,7,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000126,PL-SMT-08,EQ-SMT-L08-SPI01,2026-07-19T07:10:00+08:00,2026-07-19T07:38:00+08:00,28,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,20,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000127,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-19T07:12:00+08:00,2026-07-19T07:59:00+08:00,47,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,40093,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
